Date,Ticker,Close,Return,Is_Circuit,Circuit_Freq_20d,Circuit_Streak
2023-06-20,21STCENMGM_NS,20.9663,0.01882510727006781,0,0.0,0
2023-06-21,21STCENMGM_NS,21.3536,0.0184725011089224,0,0.0,0
2023-06-22,21STCENMGM_NS,21.741,0.0181421399670314,0,0.0,0
2023-06-25,21STCENMGM_NS,22.1284,0.017818867577388264,0,0.0,0
2023-06-26,21STCENMGM_NS,22.5641,0.01968962961623988,1,1.0,1
2023-06-27,21STCENMGM_NS,22.9999,0.019313865831121158,1,2.0,2
2023-06-29,21STCENMGM_NS,22.5641,-0.018947908469167274,0,2.0,0
2023-07-02,21STCENMGM_NS,22.1284,-0.019309434012435678,0,2.0,0
2023-07-03,21STCENMGM_NS,21.6926,-0.019694148695793667,0,2.0,0
2023-07-04,21STCENMGM_NS,21.2568,-0.020089800208366038,0,2.0,0
2023-07-05,21STCENMGM_NS,20.8694,-0.018224756313273804,0,2.0,0
2023-07-06,21STCENMGM_NS,20.482,-0.01856306362425364,0,2.0,0
2023-07-09,21STCENMGM_NS,20.0947,-0.018909286202519304,0,2.0,0
2023-07-10,21STCENMGM_NS,20.0463,-0.002408595301248595,0,2.0,0
2023-07-11,21STCENMGM_NS,19.6589,-0.019325262018427325,0,2.0,0
2023-07-12,21STCENMGM_NS,19.2715,-0.019706087319229404,0,2.0,0
2023-07-13,21STCENMGM_NS,18.8842,-0.020097034480969334,0,2.0,0
2023-07-16,21STCENMGM_NS,18.6905,-0.010257252094343361,0,2.0,0
2023-07-17,21STCENMGM_NS,19.0294,0.018132206201011192,0,2.0,0
2023-07-18,21STCENMGM_NS,19.3684,0.017814539607134305,0,2.0,0
2023-07-19,21STCENMGM_NS,19.7557,0.019996489126618666,1,3.0,1
2023-07-20,21STCENMGM_NS,20.1431,0.019609530414007148,1,4.0,2
2023-07-23,21STCENMGM_NS,20.5305,0.019232392233568874,1,5.0,3
2023-07-24,21STCENMGM_NS,20.9178,0.018864616059034,0,5.0,0
2023-07-25,21STCENMGM_NS,21.3052,0.018520112057673455,0,4.0,0
2023-07-26,21STCENMGM_NS,20.9178,-0.018183354298481058,0,3.0,0
2023-07-27,21STCENMGM_NS,20.5305,-0.018515331440208782,0,3.0,0
2023-07-30,21STCENMGM_NS,20.1431,-0.018869486861011642,0,3.0,0
2023-07-31,21STCENMGM_NS,19.7557,-0.019232392233568762,0,3.0,0
2023-08-01,21STCENMGM_NS,20.0947,0.017159604569820353,0,3.0,0
2023-08-02,21STCENMGM_NS,19.8042,-0.014456548244064282,0,3.0,0
2023-08-03,21STCENMGM_NS,19.8526,0.002443926035891275,0,3.0,0
2023-08-06,21STCENMGM_NS,19.901,0.0024379678228545476,0,3.0,0
2023-08-07,21STCENMGM_NS,19.7557,-0.007301140646198578,0,3.0,0
2023-08-08,21STCENMGM_NS,19.9978,0.012254691051190258,0,3.0,0
2023-08-09,21STCENMGM_NS,19.7557,-0.012106331696486672,0,3.0,0
2023-08-10,21STCENMGM_NS,19.3684,-0.019604468583750534,0,3.0,0
2023-08-13,21STCENMGM_NS,19.0778,-0.015003820656326883,0,3.0,0
2023-08-15,21STCENMGM_NS,19.0778,0.0,0,3.0,0
2023-08-16,21STCENMGM_NS,18.7873,-0.015227122624202005,0,3.0,0
2023-08-17,21STCENMGM_NS,18.9326,0.007733947932912155,0,2.0,0
2023-08-20,21STCENMGM_NS,19.1747,0.012787467120205287,0,1.0,0
2023-08-21,21STCENMGM_NS,19.1263,-0.0025241594392612088,0,0.0,0
2023-08-22,21STCENMGM_NS,19.1263,0.0,0,0.0,0
2023-08-23,21STCENMGM_NS,18.7389,-0.020254832351265017,0,0.0,0
2023-08-24,21STCENMGM_NS,18.4968,-0.012919648431871655,0,0.0,0
2023-08-27,21STCENMGM_NS,18.2063,-0.015705419315773628,0,0.0,0
2023-08-28,21STCENMGM_NS,17.8673,-0.01861992826658898,0,0.0,0
2023-08-29,21STCENMGM_NS,17.7705,-0.005417718401773186,0,0.0,0
2023-08-30,21STCENMGM_NS,18.1094,0.01907093216285438,1,1.0,1
2023-08-31,21STCENMGM_NS,18.1578,0.002672645145614938,0,1.0,0
2023-09-03,21STCENMGM_NS,18.3031,0.008002070735441347,0,1.0,0
2023-09-04,21STCENMGM_NS,18.5936,0.01587162830340194,0,1.0,0
2023-09-05,21STCENMGM_NS,18.4968,-0.005206092418896691,0,1.0,0
2023-09-06,21STCENMGM_NS,18.6421,0.00785541282816471,0,1.0,0
2023-09-07,21STCENMGM_NS,18.981,0.018179282376985517,0,1.0,0
2023-09-10,21STCENMGM_NS,19.3199,0.017854696802065195,0,1.0,0
2023-09-11,21STCENMGM_NS,19.6589,0.017546674672229035,0,1.0,0
2023-09-12,21STCENMGM_NS,19.5621,-0.0049239784525074715,0,1.0,0
