Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits
2023-06-20 00:00:00+05:30,40.599998474121094,40.599998474121094,39.75,40.099998474121094,16543.0,0.0,0.0
2023-06-21 00:00:00+05:30,40.099998474121094,40.599998474121094,39.599998474121094,39.95000076293945,24293.0,0.0,0.0
2023-06-22 00:00:00+05:30,39.29999923706055,40.70000076293945,39.29999923706055,40.04999923706055,68857.0,0.0,0.0
2023-06-23 00:00:00+05:30,40.29999923706055,40.349998474121094,39.25,39.5,26126.0,0.0,0.0
2023-06-26 00:00:00+05:30,40.04999923706055,40.45000076293945,39.29999923706055,39.79999923706055,28519.0,0.0,0.0
2023-06-27 00:00:00+05:30,39.95000076293945,40.900001525878906,39.04999923706055,39.5,29513.0,0.0,0.0
2023-06-28 00:00:00+05:30,39.599998474121094,41.29999923706055,39.54999923706055,40.45000076293945,35810.0,0.0,0.0
2023-06-30 00:00:00+05:30,39.5,40.400001525878906,39.25,39.79999923706055,27609.0,0.0,0.0
2023-07-03 00:00:00+05:30,39.849998474121094,40.349998474121094,39.599998474121094,39.75,30053.0,0.0,0.0
2023-07-04 00:00:00+05:30,40.79999923706055,41.099998474121094,39.20000076293945,39.45000076293945,23305.0,0.0,0.0
2023-07-05 00:00:00+05:30,39.5,39.900001525878906,39.5,39.70000076293945,22685.0,0.0,0.0
2023-07-06 00:00:00+05:30,40.20000076293945,40.20000076293945,39.45000076293945,39.650001525878906,14952.0,0.0,0.0
2023-07-07 00:00:00+05:30,39.54999923706055,42.45000076293945,39.29999923706055,41.25,136517.0,0.0,0.0
2023-07-10 00:00:00+05:30,43.45000076293945,43.45000076293945,40.650001525878906,42.150001525878906,148528.0,0.0,0.0
2023-07-11 00:00:00+05:30,41.75,42.79999923706055,41.45000076293945,41.54999923706055,32326.0,0.0,0.0
2023-07-12 00:00:00+05:30,42.099998474121094,43.25,40.400001525878906,42.150001525878906,117284.0,0.0,0.0
2023-07-13 00:00:00+05:30,42.95000076293945,43.0,38.20000076293945,39.400001525878906,114458.0,0.0,0.0
2023-07-14 00:00:00+05:30,39.95000076293945,40.599998474121094,39.0,39.150001525878906,89225.0,0.0,0.0
2023-07-17 00:00:00+05:30,39.0,40.0,39.0,39.70000076293945,45662.0,0.0,0.0
2023-07-18 00:00:00+05:30,39.20000076293945,39.900001525878906,38.349998474121094,38.75,42602.0,0.0,0.0
2023-07-19 00:00:00+05:30,39.45000076293945,39.54999923706055,38.5,38.70000076293945,32759.0,0.0,0.0
2023-07-20 00:00:00+05:30,39.45000076293945,39.45000076293945,38.25,38.349998474121094,39543.0,0.0,0.0
2023-07-21 00:00:00+05:30,38.349998474121094,39.04999923706055,38.349998474121094,38.75,20184.0,0.0,0.0
2023-07-24 00:00:00+05:30,39.54999923706055,46.45000076293945,39.099998474121094,42.45000076293945,710203.0,0.0,0.0
2023-07-25 00:00:00+05:30,43.04999923706055,46.150001525878906,42.45000076293945,43.599998474121094,231821.0,0.0,0.0
2023-07-26 00:00:00+05:30,44.45000076293945,44.5,41.5,42.45000076293945,158334.0,0.0,0.0
2023-07-27 00:00:00+05:30,42.45000076293945,43.25,42.099998474121094,42.79999923706055,25041.0,0.0,0.0
2023-07-28 00:00:00+05:30,42.79999923706055,43.95000076293945,42.5,42.849998474121094,52730.0,0.0,0.0
2023-07-31 00:00:00+05:30,43.75,44.0,41.45000076293945,42.5,101908.0,0.0,0.0
2023-08-01 00:00:00+05:30,43.0,43.099998474121094,42.04999923706055,42.54999923706055,62669.0,0.0,0.0
