symbol,last_close_rs,market_cap_cr,market_cap_missing,avg_daily_value_lakh,days_history,zero_vol_days,pump_risk_score,sub_amihud,sub_vol_spike,sub_price_accel
STEELCITY,77.88,117.65,False,6.77,88,0,18.74,10.1,22.73,26.96
BTML,6.38,115.92,False,28.61,89,1,16.94,4.51,16.85,36.97
UFO,73.81,286.49,False,61.9,90,2,11.14,1.19,5.56,34.89
TRIGYN,57.56,177.2,False,26.05,89,1,16.76,4.6,0.0,59.68
OSWALGREEN,23.93,614.54,False,67.08,89,1,15.99,1.99,5.62,52.92
ROSSELLIND,55.3,208.46,False,23.67,88,0,14.29,5.47,11.36,32.5
ASHIMASYN,16.44,315.09,False,24.55,89,1,19.74,6.33,16.85,45.24
VIRINCHI,15.57,172.14,False,24.06,90,2,18.27,5.03,11.11,49.48
KRITIKA,6.1,162.43,False,16.29,88,0,19.91,8.41,11.36,50.26
JETFREIGHT,21.47,99.63,False,32.53,89,1,19.36,5.01,22.47,37.96
SHALPAINTS,50.39,421.82,False,34.41,90,2,17.3,3.15,5.56,56.4
SURANAT&P,18.2,247.08,False,15.19,89,1,11.44,5.44,5.62,29.21
ANDHRAPAP,62.34,1239.63,False,118.21,88,0,16.7,0.84,28.41,25.66
FOCUS,92.6,621.68,False,88.8,89,1,17.41,1.33,16.85,43.91
RANASUG,12.36,189.81,False,49.96,89,1,11.76,2.71,5.62,34.85
RPPL,18.5,135.69,False,15.11,90,2,18.92,5.92,16.67,42.87
SHREDIGCEM,71.99,1064.51,False,108.88,90,2,12.77,0.72,5.56,42.16
SIGIND,49.24,144.95,False,14.01,88,0,18.95,13.64,17.05,30.13
LANDSMILL,0.89,125.55,False,45.18,90,2,12.63,2.54,5.56,38.68
GFLLIMITED,46.3,508.61,False,38.46,88,0,12.51,2.72,5.68,37.73
BRIGHOTEL,61.52,2336.79,False,85.06,88,0,9.2,0.68,5.68,27.78
ARIHANTCAP,67.5,739.88,False,184.55,89,1,14.12,0.43,11.24,40.08
ATL,24.3,709.22,False,56.31,88,0,14.75,2.09,5.68,47.7
IGCL,57.44,363.16,False,97.89,89,1,17.91,1.52,16.85,45.61
CUBEXTUB,87.25,124.93,False,147.24,89,1,18.83,0.53,16.85,50.88
INDOUS,97.74,195.99,False,38.76,88,0,19.15,2.56,11.36,56.61
SATIA,55.31,553.1,False,103.0,89,1,19.56,1.03,22.47,45.14
AERONEU,87.5,225.71,False,58.79,89,1,16.89,2.93,16.85,39.29
HLVLTD,7.98,526.09,False,34.03,89,1,19.8,3.55,11.24,57.79
INTLCONV,80.5,513.44,False,55.48,90,2,17.98,1.78,22.22,37.94
