Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits
2023-06-20 00:00:00+05:30,12.75,12.75,12.75,12.75,0.0,0.0,0.0
2023-06-21 00:00:00+05:30,12.75,12.75,12.75,12.75,0.0,0.0,0.0
2023-06-22 00:00:00+05:30,12.75,12.75,12.75,12.75,0.0,0.0,0.0
2023-06-23 00:00:00+05:30,12.75,12.75,12.75,12.75,0.0,0.0,0.0
2023-06-26 00:00:00+05:30,12.149999618530273,12.149999618530273,12.149999618530273,12.149999618530273,40272.0,0.0,0.0
2023-06-27 00:00:00+05:30,12.149999618530273,12.149999618530273,12.149999618530273,12.149999618530273,0.0,0.0,0.0
2023-06-28 00:00:00+05:30,12.149999618530273,12.149999618530273,12.149999618530273,12.149999618530273,0.0,0.0,0.0
2023-06-30 00:00:00+05:30,12.149999618530273,12.149999618530273,12.149999618530273,12.149999618530273,0.0,0.0,0.0
2023-07-03 00:00:00+05:30,11.550000190734863,11.850000381469727,11.550000190734863,11.550000190734863,31167.0,0.0,0.0
2023-07-04 00:00:00+05:30,11.550000190734863,11.550000190734863,11.550000190734863,11.550000190734863,0.0,0.0,0.0
2023-07-05 00:00:00+05:30,11.550000190734863,11.550000190734863,11.550000190734863,11.550000190734863,0.0,0.0,0.0
2023-07-06 00:00:00+05:30,11.550000190734863,11.550000190734863,11.550000190734863,11.550000190734863,0.0,0.0,0.0
2023-07-07 00:00:00+05:30,11.550000190734863,11.550000190734863,11.550000190734863,11.550000190734863,0.0,0.0,0.0
2023-07-10 00:00:00+05:30,11.100000381469727,12.100000381469727,11.0,12.050000190734863,59632.0,0.0,0.0
2023-07-11 00:00:00+05:30,12.050000190734863,12.050000190734863,12.050000190734863,12.050000190734863,0.0,0.0,0.0
2023-07-12 00:00:00+05:30,12.050000190734863,12.050000190734863,12.050000190734863,12.050000190734863,0.0,0.0,0.0
2023-07-13 00:00:00+05:30,12.050000190734863,12.050000190734863,12.050000190734863,12.050000190734863,0.0,0.0,0.0
2023-07-14 00:00:00+05:30,12.050000190734863,12.050000190734863,12.050000190734863,12.050000190734863,0.0,0.0,0.0
2023-07-17 00:00:00+05:30,12.050000190734863,12.550000190734863,11.449999809265137,11.600000381469727,48403.0,0.0,0.0
2023-07-18 00:00:00+05:30,11.600000381469727,11.600000381469727,11.600000381469727,11.600000381469727,0.0,0.0,0.0
2023-07-19 00:00:00+05:30,11.600000381469727,11.600000381469727,11.600000381469727,11.600000381469727,0.0,0.0,0.0
2023-07-20 00:00:00+05:30,11.600000381469727,11.600000381469727,11.600000381469727,11.600000381469727,0.0,0.0,0.0
2023-07-21 00:00:00+05:30,11.600000381469727,11.600000381469727,11.600000381469727,11.600000381469727,0.0,0.0,0.0
2023-07-24 00:00:00+05:30,11.449999809265137,12.149999618530273,11.050000190734863,11.149999618530273,30277.0,0.0,0.0
2023-07-25 00:00:00+05:30,11.149999618530273,11.149999618530273,11.149999618530273,11.149999618530273,0.0,0.0,0.0
2023-07-26 00:00:00+05:30,11.149999618530273,11.149999618530273,11.149999618530273,11.149999618530273,0.0,0.0,0.0
2023-07-27 00:00:00+05:30,11.149999618530273,11.149999618530273,11.149999618530273,11.149999618530273,0.0,0.0,0.0
2023-07-28 00:00:00+05:30,11.149999618530273,11.149999618530273,11.149999618530273,11.149999618530273,0.0,0.0,0.0
2023-07-31 00:00:00+05:30,11.149999618530273,11.149999618530273,10.600000381469727,10.850000381469727,26152.0,0.0,0.0
2023-08-01 00:00:00+05:30,10.850000381469727,10.850000381469727,10.850000381469727,10.850000381469727,0.0,0.0,0.0
2023-08-02 00:00:00+05:30,10.850000381469727,10.850000381469727,10.850000381469727,10.850000381469727,0.0,0.0,0.0
2023-08-03 00:00:00+05:30,10.850000381469727,10.850000381469727,10.850000381469727,10.850000381469727,0.0,0.0,0.0
2023-08-04 00:00:00+05:30,10.850000381469727,10.850000381469727,10.850000381469727,10.850000381469727,0.0,0.0,0.0
2023-08-07 00:00:00+05:30,11.350000381469727,11.350000381469727,10.899999618530273,11.350000381469727,10078.0,0.0,0.0
2023-08-08 00:00:00+05:30,11.350000381469727,11.350000381469727,11.350000381469727,11.350000381469727,0.0,0.0,0.0
2023-08-09 00:00:00+05:30,11.899999618530273,11.899999618530273,11.899999618530273,11.899999618530273,6193.0,0.0,0.0
2023-08-10 00:00:00+05:30,12.449999809265137,12.449999809265137,12.449999809265137,12.449999809265137,1981.0,0.0,0.0
2023-08-11 00:00:00+05:30,13.050000190734863,13.050000190734863,13.050000190734863,13.050000190734863,2534.0,0.0,0.0
2023-08-14 00:00:00+05:30,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,6165.0,0.0,0.0
2023-08-16 00:00:00+05:30,14.350000381469727,14.350000381469727,14.350000381469727,14.350000381469727,18950.0,0.0,0.0
2023-08-17 00:00:00+05:30,15.050000190734863,15.050000190734863,15.050000190734863,15.050000190734863,3040.0,0.0,0.0
2023-08-18 00:00:00+05:30,15.800000190734863,15.800000190734863,15.800000190734863,15.800000190734863,7262.0,0.0,0.0
2023-08-21 00:00:00+05:30,16.549999237060547,16.549999237060547,16.549999237060547,16.549999237060547,50782.0,0.0,0.0
2023-08-22 00:00:00+05:30,17.350000381469727,17.350000381469727,16.75,17.350000381469727,129605.0,0.0,0.0
2023-08-23 00:00:00+05:30,18.200000762939453,18.200000762939453,18.200000762939453,18.200000762939453,20609.0,0.0,0.0
2023-08-24 00:00:00+05:30,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,9532.0,0.0,0.0
2023-08-25 00:00:00+05:30,20.049999237060547,20.049999237060547,19.5,20.049999237060547,101876.0,0.0,0.0
2023-08-28 00:00:00+05:30,21.049999237060547,21.049999237060547,21.049999237060547,21.049999237060547,13693.0,0.0,0.0
2023-08-29 00:00:00+05:30,21.899999618530273,22.100000381469727,21.399999618530273,22.100000381469727,71159.0,0.0,0.0
2023-08-30 00:00:00+05:30,23.200000762939453,23.200000762939453,23.200000762939453,23.200000762939453,32219.0,0.0,0.0
2023-08-31 00:00:00+05:30,24.350000381469727,24.350000381469727,24.350000381469727,24.350000381469727,15602.0,0.0,0.0
2023-09-01 00:00:00+05:30,25.549999237060547,25.549999237060547,24.0,25.549999237060547,146567.0,0.0,0.0
2023-09-04 00:00:00+05:30,26.799999237060547,26.799999237060547,26.700000762939453,26.799999237060547,92685.0,0.0,0.0
2023-09-05 00:00:00+05:30,28.100000381469727,28.100000381469727,27.350000381469727,28.100000381469727,149613.0,0.0,0.0
2023-09-06 00:00:00+05:30,29.399999618530273,29.5,26.700000762939453,26.700000762939453,72511.0,0.0,0.0
2023-09-07 00:00:00+05:30,26.200000762939453,26.200000762939453,26.200000762939453,26.200000762939453,4729.0,0.0,0.0
2023-09-08 00:00:00+05:30,25.700000762939453,25.700000762939453,25.700000762939453,25.700000762939453,4724.0,0.0,0.0
2023-09-11 00:00:00+05:30,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,2696.0,0.0,0.0
2023-09-12 00:00:00+05:30,24.700000762939453,24.700000762939453,24.700000762939453,24.700000762939453,2491.0,0.0,0.0
2023-09-13 00:00:00+05:30,24.200000762939453,24.200000762939453,24.200000762939453,24.200000762939453,1041.0,0.0,0.0
2023-09-14 00:00:00+05:30,23.75,23.75,23.75,23.75,1101.0,0.0,0.0
2023-09-15 00:00:00+05:30,23.299999237060547,23.299999237060547,23.299999237060547,23.299999237060547,1303.0,0.0,0.0
2023-09-18 00:00:00+05:30,22.850000381469727,22.850000381469727,22.850000381469727,22.850000381469727,3164.0,0.0,0.0
2023-09-20 00:00:00+05:30,22.399999618530273,22.399999618530273,22.399999618530273,22.399999618530273,3416.0,0.0,0.0
2023-09-21 00:00:00+05:30,21.950000762939453,21.950000762939453,21.950000762939453,21.950000762939453,2734.0,0.0,0.0
2023-09-22 00:00:00+05:30,21.549999237060547,21.549999237060547,21.549999237060547,21.549999237060547,2391.0,0.0,0.0
