symbol,date,SentimentDelta_t,NewsCount_t,C_quality,nse_count,screener_count,news_rss_count
ANMOL,2023-07-20,0.0,1,0.05,1,0,0
ANMOL,2023-07-21,0.0,1,0.05,1,0,0
ANMOL,2023-07-27,0.0,2,0.1,2,0,0
ANMOL,2023-07-31,0.0,2,0.1,2,0,0
ANMOL,2023-08-09,0.0,1,0.05,1,0,0
ANMOL,2023-08-10,0.31406843662261963,2,0.1,2,0,0
ANMOL,2023-09-12,0.0,1,0.05,1,0,0
ANMOL,2023-09-30,0.0,1,0.05,1,0,0
ANMOL,2023-10-12,0.0,1,0.05,1,0,0
ANMOL,2023-11-07,0.19022063414255777,3,0.15,3,0,0
ANMOL,2023-11-09,0.0,1,0.05,1,0,0
ANMOL,2023-12-04,0.0,1,0.05,1,0,0
ANMOL,2023-12-14,0.0,2,0.1,2,0,0
ANMOL,2023-12-15,0.0,1,0.05,1,0,0
ANMOL,2023-12-20,0.0,1,0.05,1,0,0
ANMOL,2023-12-31,0.0,1,0.05,1,0,0
ANMOL,2024-01-11,0.0,1,0.05,1,0,0
ANMOL,2024-01-16,0.0,2,0.1,2,0,0
ANMOL,2024-01-29,0.0,2,0.1,2,0,0
ANMOL,2024-01-30,0.0,1,0.05,0,0,1
ANMOL,2024-02-06,0.0,2,0.1,2,0,0
ANMOL,2024-02-08,0.0,1,0.05,1,0,0
ANMOL,2024-02-19,0.0,1,0.05,0,0,1
ANMOL,2024-02-20,0.0,1,0.05,0,0,1
ANMOL,2024-02-23,0.0,3,0.15,3,0,0
ANMOL,2024-04-08,0.0,1,0.05,1,0,0
ANMOL,2024-04-19,0.0,2,0.1,0,0,2
ANMOL,2024-05-10,0.0,1,0.05,1,0,0
ANMOL,2024-05-14,0.0,3,0.15,3,0,0
ANMOL,2024-05-15,0.0,1,0.05,1,0,0
ANMOL,2024-06-27,0.0,1,0.05,1,0,0
ANMOL,2024-07-17,0.0,1,0.05,1,0,0
ANMOL,2024-08-10,0.0,2,0.1,2,0,0
ANMOL,2024-08-31,0.0,1,0.05,1,0,0
ANMOL,2024-09-26,0.0,2,0.1,2,0,0
ANMOL,2024-09-27,0.0,1,0.05,1,0,0
ANMOL,2024-09-29,0.0,1,0.05,1,0,0
ANMOL,2024-10-05,0.0,2,0.1,2,0,0
ANMOL,2024-10-07,0.0,1,0.05,1,0,0
ANMOL,2024-10-09,0.0,1,0.05,1,0,0
ANMOL,2024-11-08,0.0,1,0.05,1,0,0
ANMOL,2024-11-12,0.0,2,0.1,2,0,0
ANMOL,2024-11-14,0.0,1,0.05,0,0,1
ANMOL,2024-11-18,0.0,2,0.1,0,0,2
ANMOL,2024-11-20,0.0,1,0.05,0,0,1
ANMOL,2024-11-21,0.0,1,0.05,0,0,1
ANMOL,2024-11-22,0.0,1,0.05,0,0,1
ANMOL,2024-12-30,0.0,1,0.05,1,0,0
ANMOL,2025-01-07,0.0,1,0.05,0,0,1
ANMOL,2025-01-12,0.0,1,0.05,0,0,1
ANMOL,2025-01-13,0.0,1,0.05,1,0,0
ANMOL,2025-01-15,0.0,1,0.05,0,0,1
ANMOL,2025-01-28,0.0,1,0.05,0,0,1
ANMOL,2025-02-12,0.0,3,0.15,3,0,0
ANMOL,2025-02-26,0.0,2,0.1,2,0,0
ANMOL,2025-03-10,0.0,1,0.05,1,0,0
ANMOL,2025-03-17,0.0,1,0.05,1,0,0
ANMOL,2025-03-26,0.0,1,0.05,1,0,0
ANMOL,2025-04-09,0.0,1,0.05,1,0,0
ANMOL,2025-04-11,0.0,2,0.1,2,0,0
ANMOL,2025-04-12,0.0,1,0.05,0,0,1
ANMOL,2025-04-16,0.0,1,0.05,0,0,1
ANMOL,2025-04-17,0.0,1,0.05,1,0,0
ANMOL,2025-04-28,0.0,1,0.05,0,0,1
ANMOL,2025-04-30,0.0,1,0.05,1,0,0
ANMOL,2025-05-02,0.0,1,0.05,1,0,0
