date,headline,text,symbol,source_type,sentiment_score
2026-05-27,Anmol India Ltd Upgraded to Sell on Improved Valuation Metrics and Financial Trends - Markets Mojo,Anmol India Ltd Upgraded to Sell on Improved Valuation Metrics and Financial Trends - Markets Mojo,ANMOL,news_rss,0.9564703106880188
2026-05-25,Anmol India Ltd Valuation Shifts Signal Price Attractiveness Amid Market Challenges - Markets Mojo,Anmol India Ltd Valuation Shifts Signal Price Attractiveness Amid Market Challenges - Markets Mojo,ANMOL,news_rss,0.5103757381439209
2026-05-19,Anmol India Ltd Downgraded to Strong Sell Amidst Flat Financials and Bearish Technicals - Markets Mojo,Anmol India Ltd Downgraded to Strong Sell Amidst Flat Financials and Bearish Technicals - Markets Mojo,ANMOL,news_rss,-0.9447389245033264
2026-01-19,Anmol India Ltd is Rated Strong Sell - Markets Mojo,Anmol India Ltd is Rated Strong Sell - Markets Mojo,ANMOL,news_rss,0.9406614303588867
2026-02-24,Anmol India Ltd Stock Falls to 52-Week Low of Rs.11.3 Amid Market Downturn - Markets Mojo,Anmol India Ltd Stock Falls to 52-Week Low of Rs.11.3 Amid Market Downturn - Markets Mojo,ANMOL,news_rss,-0.9688717722892761
2026-01-14,Anmol India Ltd Stock Falls to 52-Week Low of Rs.12.68 - Markets Mojo,Anmol India Ltd Stock Falls to 52-Week Low of Rs.12.68 - Markets Mojo,ANMOL,news_rss,-0.9628505110740662
2026-02-14,Why Investors Shouldn't Be Surprised By Anmol India Limited's (NSE:ANMOL) Low P/E - simplywall.st,Why Investors Shouldn't Be Surprised By Anmol India Limited's (NSE:ANMOL) Low P/E - simplywall.st,ANMOL,news_rss,0.0
2026-05-16,"Anmol India Limited Schedules Board Meeting on May 16, 2026 to Approve Q4 FY26 Financial Results - scanx.trade","Anmol India Limited Schedules Board Meeting on May 16, 2026 to Approve Q4 FY26 Financial Results - scanx.trade",ANMOL,news_rss,0.0
2026-03-13,CBI questions Anil Ambani's son Jai for 6.5 hours in Rs 228 crore bank fraud case - India Today,CBI questions Anil Ambani's son Jai for 6.5 hours in Rs 228 crore bank fraud case - India Today,ANMOL,news_rss,-0.5024852156639099
2026-03-13,Jai Anmol Ambani questioned by CBI for 6 hours in Rs 228-crore bank fraud case - The Indian Express,Jai Anmol Ambani questioned by CBI for 6 hours in Rs 228-crore bank fraud case - The Indian Express,ANMOL,news_rss,-0.573901355266571
2026-05-16,Anmol India Q4 Net Profit Rises 57% to ₹2.51 Crore - scanx.trade,Anmol India Q4 Net Profit Rises 57% to ₹2.51 Crore - scanx.trade,ANMOL,news_rss,0.9359180331230164
2026-02-03,Anmol Industries Appoints Abhishek Kumar as Vice President – Marketing - EventFAQs,Anmol Industries Appoints Abhishek Kumar as Vice President – Marketing - EventFAQs,ANMOL,news_rss,0.0
2025-11-19,Big win for India: US deports Anmol Bishnoi; key accused in Baba Siddique murder case - The Times of India,Big win for India: US deports Anmol Bishnoi; key accused in Baba Siddique murder case - The Times of India,ANMOL,news_rss,0.0
2025-11-19,Who is Anmol Bishnoi? Accused in Baba Siddique's murder deported to India from US | India News - Hindustan Times,Who is Anmol Bishnoi? Accused in Baba Siddique's murder deported to India from US | India News - Hindustan Times,ANMOL,news_rss,0.0
2025-12-09,CBI files case against Anil Ambani’s son in Rs 228 crore fraud case - The New Indian Express,CBI files case against Anil Ambani’s son in Rs 228 crore fraud case - The New Indian Express,ANMOL,news_rss,-0.5553632378578186
2023-06-05,Anmol India Ltd Board Approves Issue of Bonus Shares in ratio of 4:1 - ThePrint,Anmol India Ltd Board Approves Issue of Bonus Shares in ratio of 4:1 - ThePrint,ANMOL,news_rss,0.0
2025-12-09,Anil Ambani's son Jai Anmol named in Rs 228 crore banking fraud case by CBI - India Today,Anil Ambani's son Jai Anmol named in Rs 228 crore banking fraud case by CBI - India Today,ANMOL,news_rss,0.0
2025-11-19,Who is Anmol Bishnoi? 5 things about the gangster deported to India from US - The Indian Express,Who is Anmol Bishnoi? 5 things about the gangster deported to India from US - The Indian Express,ANMOL,news_rss,0.0
2024-04-19,Anmol India Ltd leads losers in 'B' group - Business Standard,Anmol India Ltd leads losers in 'B' group - Business Standard,ANMOL,news_rss,0.0
2025-11-18,"Anmol Bishnoi, Accused In Baba Siddique Murder Case, To Be Deported To India From US - The Times of India","Anmol Bishnoi, Accused In Baba Siddique Murder Case, To Be Deported To India From US - The Times of India",ANMOL,news_rss,0.0
2025-11-19,"Anmol Bishnoi, accused in Baba Siddiqui murder, lands in Delhi; NIA takes him to Patiala House court | India News - Hindustan Times","Anmol Bishnoi, accused in Baba Siddiqui murder, lands in Delhi; NIA takes him to Patiala House court | India News - Hindustan Times",ANMOL,news_rss,0.0
2023-01-31,"Anmol India Ltd Share Price Today,, ANMOL Share Price NSE, BSE - Business Today","Anmol India Ltd Share Price Today,, ANMOL Share Price NSE, BSE - Business Today",ANMOL,news_rss,0.0
2023-04-19,Anmol India Ltd. presents a strategic expansion plan - Business Outreach Magazine,Anmol India Ltd. presents a strategic expansion plan - Business Outreach Magazine,ANMOL,news_rss,0.0
2025-11-19,Anmol Bishnoi deported to India: Who is the notorious gangster? - The Indian Express,Anmol Bishnoi deported to India: Who is the notorious gangster? - The Indian Express,ANMOL,news_rss,0.0
2025-11-19,Gangster Anmol Bishnoi brought back to India. What dossiers reveal about ‘proxy for brother Lawrence’ - ThePrint,Gangster Anmol Bishnoi brought back to India. What dossiers reveal about ‘proxy for brother Lawrence’ - ThePrint,ANMOL,news_rss,0.0
2025-12-14,"High-security cell, 24-hour watch, to be escorted within prison: How Tihar Jail is trying to keep Anmol Bishnoi safe from rivals - The Indian Express","High-security cell, 24-hour watch, to be escorted within prison: How Tihar Jail is trying to keep Anmol Bishnoi safe from rivals - The Indian Express",ANMOL,news_rss,0.0
2026-05-26,Anmol eyes urban expansion - The Times of India,Anmol eyes urban expansion - The Times of India,ANMOL,news_rss,0.0
2021-06-07,Technical Analysis of Anmol India Ltd. (NSE:ANMOL) - TradingView,Technical Analysis of Anmol India Ltd. (NSE:ANMOL) - TradingView,ANMOL,news_rss,0.0
2026-05-13,How an AC blower blew up Anmol Kharb upset-hopes against Chen Yufei - The Indian Express,How an AC blower blew up Anmol Kharb upset-hopes against Chen Yufei - The Indian Express,ANMOL,news_rss,0.0
