symbol,last_close_rs,market_cap_cr,market_cap_missing,avg_daily_value_lakh,days_history,zero_vol_days,pump_risk_score,sub_amihud,sub_vol_spike,sub_price_accel
ABMINTLLTD,42.95,40.41,False,0.37,89,10,85.01,100.0,73.03,77.81
TIJARIA,4.48,13.0,False,1.1,89,1,78.76,100.0,39.33,100.0
GTECJAINX,34.87,35.53,False,5.47,89,1,76.8,100.0,33.71,100.0
MODTHREAD,46.62,162.4,False,2.9,88,2,72.96,100.0,45.45,68.22
ARTNIRMAN,42.83,106.89,False,2.45,88,4,72.65,100.0,45.45,66.95
ICDSLTD,43.12,57.59,False,2.97,88,2,72.39,100.0,45.45,65.93
ORTINGLOBE,18.11,14.73,False,1.34,89,1,72.04,100.0,44.94,65.24
RETAIL,18.42,15.11,False,2.2,89,1,69.94,100.0,44.94,56.85
HAVISHA,1.5,23.03,False,1.15,90,2,69.77,100.0,33.33,72.41
KHANDSE,19.02,29.01,False,1.28,89,1,68.86,100.0,50.56,44.66
EUROTEXIND,16.05,18.87,False,0.66,89,1,68.48,100.0,56.18,35.25
INFOMEDIA,5.59,28.06,False,1.85,89,1,68.35,100.0,44.94,50.49
TECILCHEM,11.45,21.71,False,1.69,89,1,65.86,100.0,44.94,40.53
NEXTMEDIA,3.94,26.36,False,1.68,89,1,64.36,100.0,28.09,58.13
ARENTERP,37.4,12.09,False,0.75,89,2,61.17,100.0,28.09,45.37
MFML,24.05,25.54,False,1.3,89,1,60.78,100.0,33.71,35.91
KREBSBIO,64.23,138.48,False,11.68,89,1,60.1,42.02,73.03,70.91
LAXMICOT,15.29,26.22,False,1.97,89,1,59.47,51.75,39.33,100.0
ACEINTEG,20.2,20.6,False,4.55,89,1,59.09,96.8,28.09,42.16
NKIND,64.2,38.58,False,4.52,89,3,58.24,100.0,33.71,25.77
ADL,70.6,39.3,False,0.89,89,1,57.8,100.0,16.85,47.59
REGENCERAM,41.9,110.79,False,1.57,89,1,57.57,100.0,22.47,38.82
CREATIVEYE,6.79,13.62,False,1.15,89,1,56.16,100.0,16.85,41.03
SGL,11.21,31.78,False,4.32,89,1,54.65,55.21,44.94,67.33
MANUGRAPH,16.78,52.58,False,3.05,89,1,54.29,58.88,39.33,67.92
3PLAND,31.8,,True,1.73,90,2,53.11,71.92,44.44,35.13
WILLAMAGOR,27.0,29.58,False,5.39,89,1,52.69,78.59,33.71,37.84
RADAAN,3.09,16.74,False,1.04,89,1,52.36,100.0,5.62,41.57
KEEPLEARN,2.14,33.32,False,1.22,89,1,52.2,82.08,22.47,46.01
MADHUCON,5.17,38.15,False,2.08,89,1,49.79,78.43,11.24,57.95
PNC,20.77,30.05,False,2.07,89,1,49.41,56.76,33.71,59.63
NORBTEAEXP,78.0,121.24,False,4.52,89,1,49.23,39.88,50.56,62.34
KARMAENG,42.02,48.62,False,3.28,89,1,48.46,60.68,28.09,57.42
TREEHOUSE,7.02,29.7,False,1.74,89,1,48.18,63.3,28.09,52.09
PARASPETRO,2.0,66.84,False,3.05,90,2,46.61,41.21,22.22,89.38
PRUDMOULI,16.0,51.6,False,3.18,89,1,46.43,49.75,22.47,74.66
RAJTV,13.26,68.84,False,26.53,90,2,46.06,16.92,61.11,71.6
DAMODARIND,30.77,71.69,False,4.55,89,1,45.86,46.67,39.33,53.69
HGM,57.72,72.7,False,8.88,90,2,45.81,36.46,55.56,47.14
21STCENMGM,32.41,34.03,False,1.34,89,1,44.99,73.34,16.85,39.01
VIVIDHA,0.57,16.68,False,2.45,90,2,42.58,58.92,5.56,68.26
MOHITIND,22.67,32.1,False,3.75,89,1,42.24,39.52,39.33,50.7
TFL,12.08,66.58,False,3.19,89,1,42.02,65.0,22.47,32.6
HYBRIDFIN,16.0,47.1,False,2.21,90,2,41.85,58.02,16.67,51.25
INCREDIBLE,35.76,167.23,False,3.01,89,1,41.8,61.57,22.47,37.23
LEXUS,16.71,33.74,False,8.72,89,1,41.65,13.2,44.94,82.57
AROGRANITE,25.1,38.4,False,4.2,89,1,40.42,29.58,44.94,51.44
SAMBHAAV,6.74,128.81,False,3.14,89,1,40.42,46.42,22.47,55.93
AMBICAAGAR,24.7,42.43,False,1.61,89,1,40.21,70.88,16.85,23.83
MUKTAARTS,63.71,143.89,False,8.85,90,2,40.2,26.53,33.33,71.69
LPDC,6.82,91.49,False,6.24,89,1,39.78,38.45,22.47,66.14
SPLIL,30.49,89.5,False,4.4,89,1,39.58,46.26,16.85,60.71
FLEXITUFF,7.0,22.98,False,2.45,89,1,39.42,54.64,16.85,46.65
GUJRAFFIA,41.99,,True,2.37,88,0,39.11,57.64,11.36,48.31
MADHAV,37.9,33.91,False,2.87,89,1,38.61,52.11,22.47,39.58
ACCURACY,5.56,83.71,False,10.39,89,1,38.49,14.72,33.71,83.21
LASA,7.93,39.73,False,2.52,89,1,38.26,35.12,28.09,57.53
CELEBRITY,7.68,49.57,False,2.78,90,2,38.21,50.3,11.11,56.81
COUNCODOS,4.98,38.64,False,2.57,89,1,37.54,38.67,28.09,48.98
NAGREEKEXP,27.28,85.25,False,3.87,89,1,37.32,38.79,22.47,55.74
BIOFILCHEM,35.6,57.93,False,14.46,90,2,37.31,12.44,33.33,82.66
SECURKLOUD,20.8,69.49,False,7.87,89,1,36.81,26.86,28.09,64.94
DANGEE,3.21,49.43,False,7.26,89,1,36.66,28.53,28.09,61.67
DBSTOCKBRO,33.05,115.67,False,3.86,89,1,36.64,35.77,44.94,26.41
BONLON,43.0,70.45,False,9.73,69,1,36.58,33.57,21.74,62.18
SUVIDHAA,2.7,57.45,False,3.98,89,1,36.44,30.93,28.09,56.95
SINTERCOM,73.42,202.11,False,48.18,89,1,36.35,13.3,56.18,45.47
SHRADHA,35.0,205.22,False,10.2,89,1,36.2,23.72,33.71,59.65
KANANIIND,1.56,30.87,False,3.64,89,1,35.91,31.17,11.24,78.04
DNAMEDIA,2.95,34.72,False,1.82,89,1,35.87,44.67,16.85,48.43
HEADSUP,7.19,15.88,False,2.56,89,1,35.74,43.66,28.09,33.77
MAHAPEXLTD,48.0,135.28,False,29.02,89,1,35.62,10.47,33.71,78.55
SUPERSPIN,5.11,28.63,False,4.34,89,1,35.56,31.79,22.47,59.9
SILLYMONKS,16.99,17.35,False,2.98,89,1,35.53,47.31,22.47,34.95
GSLSU,54.05,229.07,False,60.49,89,1,35.41,5.28,50.56,62.41
SBGLP,24.91,431.98,False,29.12,89,1,35.29,6.15,39.33,76.25
TGBHOTELS,9.06,26.53,False,3.31,89,1,34.94,39.62,28.09,37.04
LYPSAGEMS,4.96,14.62,False,2.06,90,2,34.79,39.96,22.22,44.13
