date,article_count,avg_sentiment,positive_articles,negative_articles
2017-03-23,1,0.004238009452819824,0,0
2017-10-03,1,0.004238009452819824,0,0
2018-05-21,1,0.004238009452819824,0,0
2018-11-23,1,0.004238009452819824,0,0
2019-02-15,1,0.004238009452819824,0,0
2020-08-31,1,0.004238009452819824,0,0
2024-01-25,1,-0.146127138286829,0,0
2025-02-08,1,-0.9456116808578372,0,1
2025-05-27,1,-0.5002466477453709,0,1
2025-11-04,1,0.01205356977880001,0,0
2026-02-10,1,-0.9352527540177107,0,1
2026-05-13,1,-0.8850823622196913,0,1
2026-05-22,2,-0.014241873286664486,1,1
2026-05-23,1,-0.9367065001279116,0,1
2026-05-25,1,-0.008981263265013695,0,0
2026-05-26,1,-0.17747297883033752,0,0
2026-05-28,1,0.9258145820349455,1,0
2026-06-09,8,0.05958886572625488,2,2
2026-06-10,3,0.1624273428072532,1,1
2026-06-11,2,0.126966523937881,1,1
2026-06-12,1,-0.9112723954021931,0,1
2026-06-15,1,-0.22466972470283508,0,1
2026-06-16,1,-0.9465082474052906,0,1
2026-06-17,1,-0.6757157128304243,0,1
