date,article_count,avg_sentiment,positive_articles,negative_articles
2021-06-07,1,-0.000177653506398201,0,0
2023-01-31,1,0.005082512274384499,0,0
2023-04-19,1,0.16159944096580148,0,0
2023-06-05,1,0.29911218024790287,1,0
2024-04-19,1,0.06373557448387146,0,0
2026-01-14,1,-0.9548752875998616,0,1
2026-01-19,1,0.9294475130736828,1,0
2026-02-14,1,-0.3479578197002411,0,1
2026-02-24,1,-0.9611495737917721,0,1
2026-05-16,2,0.45894775725901127,1,0
2026-05-18,1,-0.9654959426261485,0,1
2026-05-19,1,-0.9002591520547867,0,1
2026-05-25,1,0.1759718954563141,0,0
2026-05-27,1,0.9411516804248095,1,0
2026-06-09,1,-0.8201293237507343,0,1
2026-06-16,1,0.9090626426041126,1,0
2026-06-17,1,0.08043825998902321,0,0
