date,announcement_count,avg_sentiment,max_sentiment,min_sentiment,label
2021-06-21,1,0.0,0.0,0.0,Neutral
2021-06-28,1,0.0,0.0,0.0,Neutral
2021-06-30,1,0.0,0.0,0.0,Neutral
2021-07-15,1,0.0,0.0,0.0,Neutral
2021-08-10,1,0.0,0.0,0.0,Neutral
2021-08-12,2,0.0,0.0,0.0,Neutral
2021-08-13,2,0.0,0.0,0.0,Neutral
2021-08-16,1,0.0,0.0,0.0,Neutral
2021-09-01,1,0.0,0.0,0.0,Neutral
2021-09-03,1,0.0,0.0,0.0,Neutral
2021-09-08,1,0.0,0.0,0.0,Neutral
2021-09-13,1,0.0,0.0,0.0,Neutral
2021-09-28,2,0.0,0.0,0.0,Neutral
2021-09-29,1,0.0,0.0,0.0,Neutral
2021-10-04,1,0.0,0.0,0.0,Neutral
2021-10-11,1,0.0,0.0,0.0,Neutral
2021-10-20,1,0.0,0.0,0.0,Neutral
2021-11-14,1,0.0,0.0,0.0,Neutral
2021-11-15,1,0.0,0.0,0.0,Neutral
2021-11-16,1,0.0,0.0,0.0,Neutral
2021-12-02,1,0.0,0.0,0.0,Neutral
2021-12-31,1,0.0,0.0,0.0,Neutral
2022-01-29,1,0.0,0.0,0.0,Neutral
2022-02-05,1,0.0,0.0,0.0,Neutral
2022-02-08,1,0.0,0.0,0.0,Neutral
2022-03-22,1,0.0,0.0,0.0,Neutral
2022-03-31,1,0.0,0.0,0.0,Neutral
2022-04-04,2,0.0,0.0,0.0,Neutral
2022-05-14,2,0.0,0.0,0.0,Neutral
2022-05-17,1,0.0,0.0,0.0,Neutral
2022-06-02,1,0.0,0.0,0.0,Neutral
2022-07-06,1,0.0,0.0,0.0,Neutral
2022-08-01,1,0.0,0.0,0.0,Neutral
2022-08-04,1,0.0,0.0,0.0,Neutral
2022-08-16,1,0.0,0.0,0.0,Neutral
2022-09-01,1,0.0,0.0,0.0,Neutral
2022-09-02,2,0.0,0.0,0.0,Neutral
2022-09-03,1,0.0,0.0,0.0,Neutral
2022-09-28,1,0.0,0.0,0.0,Neutral
2022-09-29,1,0.0,0.0,0.0,Neutral
2022-09-30,1,0.0,0.0,0.0,Neutral
2022-11-07,2,0.0,0.0,0.0,Neutral
2022-11-09,1,0.0,0.0,0.0,Neutral
2022-11-16,1,0.0,0.0,0.0,Neutral
2022-12-31,1,0.0,0.0,0.0,Neutral
2023-01-30,1,0.0,0.0,0.0,Neutral
2023-02-09,1,0.0,0.0,0.0,Neutral
2023-02-10,1,0.0,0.0,0.0,Neutral
2023-03-30,1,0.0,0.0,0.0,Neutral
2023-04-14,1,0.0,0.0,0.0,Neutral
2023-04-17,1,0.0,0.0,0.0,Neutral
2023-05-09,1,0.0,0.0,0.0,Neutral
2023-05-17,3,0.0,0.0,0.0,Neutral
2023-05-18,1,0.0,0.0,0.0,Neutral
2023-05-22,2,0.0,0.0,0.0,Neutral
2023-05-24,1,0.0,0.0,0.0,Neutral
2023-05-26,2,0.0,0.0,0.0,Neutral
2023-06-01,1,0.0,0.0,0.0,Neutral
2023-06-02,2,0.0,0.0,0.0,Neutral
2023-06-05,2,0.0,0.0,0.0,Neutral
2023-06-06,1,0.0,0.0,0.0,Neutral
2023-06-30,1,0.0,0.0,0.0,Neutral
2023-07-06,3,0.0,0.0,0.0,Neutral
2023-07-08,1,0.0,0.0,0.0,Neutral
2023-07-13,1,0.0,0.0,0.0,Neutral
2023-07-20,1,0.0,0.0,0.0,Neutral
2023-07-21,1,0.0,0.0,0.0,Neutral
2023-07-27,2,0.0,0.0,0.0,Neutral
2023-07-31,2,0.0,0.0,0.0,Neutral
2023-08-09,1,0.0,0.0,0.0,Neutral
2023-08-10,2,0.31406843662261963,0.6281368732452393,0.0,Positive
2023-09-12,1,0.0,0.0,0.0,Neutral
2023-09-30,1,0.0,0.0,0.0,Neutral
2023-10-12,1,0.0,0.0,0.0,Neutral
2023-11-07,3,0.19022063414255777,0.5706619024276733,0.0,Neutral
2023-11-09,1,0.0,0.0,0.0,Neutral
2023-12-04,1,0.0,0.0,0.0,Neutral
2023-12-14,2,0.0,0.0,0.0,Neutral
2023-12-15,1,0.0,0.0,0.0,Neutral
2023-12-20,1,0.0,0.0,0.0,Neutral
2023-12-31,1,0.0,0.0,0.0,Neutral
2024-01-11,1,0.0,0.0,0.0,Neutral
2024-01-16,2,0.0,0.0,0.0,Neutral
2024-01-29,2,0.0,0.0,0.0,Neutral
2024-02-06,2,0.0,0.0,0.0,Neutral
2024-02-08,1,0.0,0.0,0.0,Neutral
2024-02-23,2,0.0,0.0,0.0,Neutral
2024-04-08,1,0.0,0.0,0.0,Neutral
2024-05-10,1,0.0,0.0,0.0,Neutral
2024-05-14,3,0.0,0.0,0.0,Neutral
2024-05-15,1,0.0,0.0,0.0,Neutral
2024-06-27,1,0.0,0.0,0.0,Neutral
2024-07-17,1,0.0,0.0,0.0,Neutral
2024-08-10,2,0.0,0.0,0.0,Neutral
2024-08-31,1,0.0,0.0,0.0,Neutral
2024-09-26,2,0.0,0.0,0.0,Neutral
2024-09-27,1,0.0,0.0,0.0,Neutral
2024-09-29,1,0.0,0.0,0.0,Neutral
2024-10-05,2,0.0,0.0,0.0,Neutral
2024-10-07,1,0.0,0.0,0.0,Neutral
2024-10-09,1,0.0,0.0,0.0,Neutral
2024-11-08,1,0.0,0.0,0.0,Neutral
2024-11-12,2,0.0,0.0,0.0,Neutral
2024-12-30,1,0.0,0.0,0.0,Neutral
2025-01-13,1,0.0,0.0,0.0,Neutral
2025-02-12,3,0.0,0.0,0.0,Neutral
2025-02-26,2,0.0,0.0,0.0,Neutral
2025-03-17,1,0.0,0.0,0.0,Neutral
2025-03-26,1,0.0,0.0,0.0,Neutral
2025-04-09,1,0.0,0.0,0.0,Neutral
2025-04-11,2,0.0,0.0,0.0,Neutral
2025-04-17,1,0.0,0.0,0.0,Neutral
2025-04-30,1,0.0,0.0,0.0,Neutral
2025-05-02,1,0.0,0.0,0.0,Neutral
2025-05-15,1,0.0,0.0,0.0,Neutral
2025-05-17,2,0.0,0.0,0.0,Neutral
2025-06-27,1,0.0,0.0,0.0,Neutral
2025-07-14,1,0.0,0.0,0.0,Neutral
2025-08-08,2,0.0,0.0,0.0,Neutral
2025-08-30,2,0.0,0.0,0.0,Neutral
2025-09-18,1,0.0,0.0,0.0,Neutral
2025-09-26,2,0.0,0.0,0.0,Neutral
2025-09-30,1,0.0,0.0,0.0,Neutral
2025-10-01,1,0.0,0.0,0.0,Neutral
2025-10-14,1,0.0,0.0,0.0,Neutral
2025-11-13,2,0.0,0.0,0.0,Neutral
2025-12-03,2,0.0,0.0,0.0,Neutral
2025-12-18,1,0.0,0.0,0.0,Neutral
2025-12-26,3,0.0,0.0,0.0,Neutral
2025-12-27,1,0.0,0.0,0.0,Neutral
2025-12-30,1,0.0,0.0,0.0,Neutral
2026-01-13,1,0.0,0.0,0.0,Neutral
2026-01-23,1,0.0,0.0,0.0,Neutral
2026-02-12,1,0.0,0.0,0.0,Neutral
2026-03-17,1,0.0,0.0,0.0,Neutral
2026-03-25,1,0.0,0.0,0.0,Neutral
2026-03-30,1,0.0,0.0,0.0,Neutral
2026-04-07,1,0.0,0.0,0.0,Neutral
2026-04-10,1,0.0,0.0,0.0,Neutral
2026-04-20,1,0.0,0.0,0.0,Neutral
2026-05-16,1,0.0,0.0,0.0,Neutral
2026-05-26,1,0.0,0.0,0.0,Neutral
